2013 Field Season																									
Date Collected	Plot	Sex	Weight (g)	Species																					
2013-07-16	2	F		DM																					
2013-07-16	7	M	33	DM																					
2013-07-16	3	M		DM																					
2013-07-16	1	M		DM																					
2013-07-18	3	M	40	DM																					
2013-07-18	7	M	48	DM																					
2013-07-18	4	F	29	DM																					
2013-07-18	6	F	37	DM																					
2013-08-19	8	F	52	DO																					
2013-10-17	3	F	33	DO																					
2013-10-17	3	F	50	DO																					
2013-12-10	9	F	40	DO																					
2013-12-10	1	M	45	DO																					
2013-12-11	8	F	41	DO																					
2013-11-12	9	F	117	DS																					
2013-11-13	11	F	126	DS																					
2013-11-13	17	M	132	DS																					
2013-11-13	14	F	113	DS																					
2013-11-13	11	F	122	DS																					
2013-11-13	4	F	107	DS																					
2013-11-13	4	F	115	DS																					
